policy,severity,mean_T_max,std_T_max,cvar_T_max,std_cvar_T_max,n_instances,n_seeds
cvar_v2,0.0,46.38387101173401,0.2463856778429938,82.01708475748697,1.2520256151859113,60,5
cvar_v2,0.2,47.37291448275248,0.2969040416433816,83.61804122924805,1.3916106749020645,60,5
cvar_v2,0.4,48.37478721618652,0.2982685928155145,85.46407928466797,1.9556539432320854,60,5
cvar_v2,0.6,49.34964612325032,0.34063842701934327,87.41991551717122,2.306547771798736,60,5
cvar_v2,0.8,50.3986535358429,0.40153057946574217,89.64194946289061,2.408670431117246,60,5
cvar_v2,1.0,51.430878985722856,0.47769859584544366,91.7150286356608,2.7298746790398067,60,5
rn_v2,0.0,43.93003271102906,0.3788864040574679,96.27733205159505,1.8563760051228038,60,5
rn_v2,0.2,45.4121072546641,0.6887345062711674,98.81021677652994,3.013049042401352,60,5
rn_v2,0.4,47.07732268015543,1.0692854392382172,100.42906977335613,1.4779479290078483,60,5
rn_v2,0.6,47.30289230664571,0.5585168399394906,103.18984781901042,3.4495499915673724,60,5
rn_v2,0.8,48.6991857179006,0.6005070260866235,104.72225189208984,2.437394405618021,60,5
rn_v2,1.0,49.96361385345459,0.6178369881166759,106.2694320678711,2.8833384384202283,60,5
